bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.877085,,,,,,,,,,68a2624e-1bb7-4e04-acb9-80e2441656e2,54,,,"[55.3, 14.9]",3857262,0,,,,,-2.4305253,,Left Foot,,,,"[45.2, 6.2]",,Ground Pass,,13.330417,,,,Young-Gwon Kim,5604.0,,,,,,1,From Free Kick,Kang-In Lee,22740.0,Left Center Midfield,3,South Korea,791,['ce29c2ad-d219-4a3b-8dc7-5d004f71d6b5'],41,,,,,,,,,,,,,,,,,South Korea,791,00:00:41.682,Pass,
,,,,,,,,,,,,,,,,,2.643794,,,,,,,,,,b1c127d9-13ce-4977-aa6e-82736ba37d33,58,,,"[46.0, 8.0]",3857262,0,,,,,2.6296139,,Left Foot,,,,"[11.3, 27.5]",,Ground Pass,,39.80377,,,,Seung-Gyu Kim,37641.0,,,,,,1,From Free Kick,Young-Gwon Kim,5604.0,Left Center Back,3,South Korea,791,['af60e1d2-09b0-4c65-b40d-c1b7e8ceb56c'],45,,,,,,,,,,,,,,,,,South Korea,791,00:00:45.778,Pass,
,,,,,,,,,,,,,,,,,1.160908,,,,,,,,,,ab02ff80-8476-4060-8e55-8c934b7c21a2,61,,,"[14.5, 28.3]",3857262,0,,,,,-1.3076378,,Right Foot,,,,"[20.4, 6.4]",,Ground Pass,,22.680828,,,,Young-Gwon Kim,5604.0,,,,,,1,From Free Kick,Seung-Gyu Kim,37641.0,Goalkeeper,3,South Korea,791,['4f808bd9-3c97-4eb2-8a2f-747d5ee67551'],54,,,,,,,,,,,,,,,,,South Korea,791,00:00:54.109,Pass,
,,,,,,,,,,,,,,,,,0.950789,,,,,,,,,,e71fc8b5-56b5-4759-ae78-634100cd5d61,64,,,"[33.4, 3.1]",3857262,1,,,,,2.109171,,Left Foot,,,,"[29.1, 10.3]",,Ground Pass,,8.386298,,,,Woo-Young Jung,5618.0,,,,,,1,From Free Kick,Young-Gwon Kim,5604.0,Left Center Back,3,South Korea,791,['173956e0-7410-4bb9-8f30-efd9480e0a65'],0,,,,,,,,,,,,,,,,,South Korea,791,00:01:00.419,Pass,
,,,,,,,,,,,,,,,,,2.660836,,,,,,,,,,7ad2aaa2-a2a5-4753-a3e4-f0b46aa4e0bd,67,,,"[28.3, 12.8]",3857262,1,,,,,-0.76670873,,Right Foot,,,,"[39.2, 2.3]",,Ground Pass,,15.134728,,,,Young-Gwon Kim,5604.0,,,,,,1,From Free Kick,Woo-Young Jung,5618.0,Center Defensive Midfield,3,South Korea,791,['2ea449fc-6996-4122-9ee2-ad5a1c957c56'],1,,,,,,,,,,,,,,,,,South Korea,791,00:01:01.857,Pass,
,,,,,,,,,,,,,,,,,2.808115,,,,,,,,,,aa33c3d5-a774-48d5-b2a1-9aa6e88a8bdb,69,,,"[39.5, 2.3]",3857262,1,,,,,0.22229213,,Left Foot,,,,"[83.3, 12.2]",,High Pass,,44.9049,,,,Gue-Sung Cho,40542.0,,,,,,1,From Free Kick,Young-Gwon Kim,5604.0,Left Center Back,3,South Korea,791,['cbb4d8c4-2f4d-418c-8f2f-19de85556e4a'],4,,,,,,,,,,,,,,,,,South Korea,791,00:01:04.518,Pass,
,,,,,,,,,,,,,,,,,3.445123,,,,,,,,,,272608cb-2f0e-424c-be9b-a241e44a3973,75,,,"[93.5, 28.2]",3857262,1,,,,,1.1415192,,Left Foot,,,,"[113.0, 70.8]",,Ground Pass,,46.850933,,,,Heung-Min Son,3083.0,,True,,,,1,From Free Kick,Jae-Sung Lee,5623.0,Right Wing,3,South Korea,791,['815b60b5-6211-44d2-8e9f-86a47cda8f7d'],11,,,,,,,,,,,,,,,,,South Korea,791,00:01:11.039,Pass,
,,,,,,,,,,,,,,,,,1.493711,,,,,,,,,,164c8208-edab-4153-8f9f-8dd01b4885fe,78,,,"[112.3, 71.3]",3857262,1,,,,,3.071938,,Right Foot,,,,"[99.4, 72.2]",,Ground Pass,,12.931357,,,,Moon-Hwan Kim,40672.0,,,,,,1,From Free Kick,Heung-Min Son,3083.0,Left Wing,3,South Korea,791,['ab90d3d8-4259-4f7d-aa2f-0682cf51624d'],16,,,,,,,,,,,,,,,,,South Korea,791,00:01:16.652,Pass,
,,,,,,,,,,,,,,,,,1.015544,,,,,,,,,,807db1c6-0d02-4ae6-bfa0-6192ddded6ac,81,,,"[98.0, 72.3]",3857262,1,,,,,-2.3718183,,Right Foot,,,,"[91.5, 66.0]",,Ground Pass,,9.052072,,,,In-Beom Hwang,23763.0,,,,,,1,From Free Kick,Moon-Hwan Kim,40672.0,Right Back,3,South Korea,791,['14df4674-fc50-4ac9-a573-b22d2fd3750c'],18,,,,,,,,,,,,,,,,,South Korea,791,00:01:18.633,Pass,
,,,,,,,,,,,,,,,,,0.822086,,,,,,,,,,1a9def98-957f-4e12-a1fc-acabff781afc,85,,,"[92.0, 67.5]",3857262,1,,,,,-0.330548,,Right Foot,,,,"[102.2, 64.0]",,Ground Pass,,10.783784,,Unknown,,,,,,,,,1,From Free Kick,In-Beom Hwang,23763.0,Right Center Midfield,3,South Korea,791,['33552a3e-9a4c-4bf0-8911-37abf0407310'],20,,,,,,,,,,,,,,,,,South Korea,791,00:01:20.041,Pass,True
